SECTOR,ARG,BAC,ROC
w1,64594,1282,63312
w2,2792,75,2717
w3,47229,4586,42643
w4,403266,62122,341144
w5,23048,4412,18636
w6,96792,13990,82802
w7,31432,12821,18611
w8,102246,34321,67925
w9,40411,21863,18548
w10,77833,45272,32561
w11,50727,11554,39173
w12,78117,17635,60482
w13,50489,14051,36438
